index,Date,USDAUD
0,2016-01-01,1.37393
1,2016-01-02,1.370545
2,2016-01-03,1.372064
3,2016-01-04,1.392154
4,2016-01-05,1.39615
5,2016-01-06,1.414602
6,2016-01-07,1.425307
7,2016-01-08,1.438306
8,2016-01-09,1.438306
9,2016-01-10,1.440165
10,2016-01-11,1.429473
11,2016-01-12,1.432789
12,2016-01-13,1.437682
13,2016-01-14,1.431684
14,2016-01-15,1.457546
15,2016-01-16,1.457546
16,2016-01-17,1.459282
17,2016-01-18,1.456758
18,2016-01-19,1.44804
19,2016-01-20,1.446973
20,2016-01-21,1.428443
21,2016-01-22,1.427973
22,2016-01-23,1.427973
23,2016-01-24,1.427501
24,2016-01-25,1.439534
25,2016-01-26,1.428286
26,2016-01-27,1.423295
27,2016-01-28,1.412333
28,2016-01-29,1.411608
29,2016-01-30,1.411543
30,2016-01-31,1.413182
31,2016-02-01,1.407108
32,2016-02-02,1.422085
33,2016-02-03,1.396547
34,2016-02-04,1.389202
35,2016-02-05,1.41497
36,2016-02-06,1.41513
37,2016-02-07,1.413483
38,2016-02-08,1.411658
39,2016-02-09,1.41337
40,2016-02-10,1.409336
41,2016-02-11,1.404856
42,2016-02-12,1.407001
43,2016-02-13,1.407001
44,2016-02-14,1.407116
45,2016-02-15,1.40195
46,2016-02-16,1.406392
47,2016-02-17,1.39332
48,2016-02-18,1.397701
49,2016-02-19,1.39945
50,2016-02-20,1.39875
51,2016-02-21,1.399517
52,2016-02-22,1.383086
53,2016-02-23,1.389994
54,2016-02-24,1.390104
55,2016-02-25,1.382882
56,2016-02-26,1.40313
57,2016-02-27,1.403263
58,2016-02-28,1.403849
59,2016-02-29,1.400441
60,2016-03-01,1.393516
61,2016-03-02,1.372317
62,2016-03-03,1.360417
63,2016-03-04,1.344134
64,2016-03-05,1.344134
65,2016-03-06,1.348441
66,2016-03-07,1.339054
67,2016-03-08,1.345597
68,2016-03-09,1.337477
69,2016-03-10,1.341933
70,2016-03-11,1.32204
71,2016-03-12,1.32204
72,2016-03-13,1.325011
73,2016-03-14,1.331587
74,2016-03-15,1.340061
75,2016-03-16,1.324741
76,2016-03-17,1.308509
77,2016-03-18,1.31498
78,2016-03-19,1.314866
79,2016-03-20,1.316217
80,2016-03-21,1.318976
81,2016-03-22,1.312583
82,2016-03-23,1.327602
83,2016-03-24,1.328789
84,2016-03-25,1.331786
85,2016-03-26,1.331786
86,2016-03-27,1.331871
87,2016-03-28,1.325523
88,2016-03-29,1.309963
89,2016-03-30,1.304199
90,2016-03-31,1.304543
91,2016-04-01,1.301655
92,2016-04-02,1.301655
93,2016-04-03,1.303132
94,2016-04-04,1.315125
95,2016-04-05,1.325579
96,2016-04-06,1.315492
97,2016-04-07,1.332143
98,2016-04-08,1.324146
99,2016-04-09,1.324171
100,2016-04-10,1.323335
101,2016-04-11,1.317018
102,2016-04-12,1.301819
103,2016-04-13,1.305592
104,2016-04-14,1.299777
105,2016-04-15,1.294563
106,2016-04-16,1.294563
107,2016-04-17,1.304804
108,2016-04-18,1.290339
109,2016-04-19,1.280881
110,2016-04-20,1.282807
111,2016-04-21,1.292185
112,2016-04-22,1.296266
113,2016-04-23,1.296266
114,2016-04-24,1.297491
115,2016-04-25,1.296443
116,2016-04-26,1.290833
117,2016-04-27,1.315722
118,2016-04-28,1.311352
119,2016-04-29,1.314639
120,2016-04-30,1.314639
121,2016-05-01,1.314262
122,2016-05-02,1.304328
123,2016-05-03,1.334203
124,2016-05-04,1.340089
125,2016-05-05,1.33902
