date_issued,rba_int_rate
08-Apr-1976,8.40
09-Apr-1976,7.40
12-Apr-1976,8.89
13-Apr-1976,9.26
14-Apr-1976,9.02
15-Apr-1976,7.04
20-Apr-1976,5.48
21-Apr-1976,7.52
22-Apr-1976,8.79
23-Apr-1976,7.19
26-Apr-1976,7.10
27-Apr-1976,7.90
28-Apr-1976,5.40
29-Apr-1976,5.13
30-Apr-1976,5.02
03-May-1976,6.62
04-May-1976,5.34
05-May-1976,7.90
06-May-1976,8.07
07-May-1976,7.68
10-May-1976,7.87
11-May-1976,6.94
12-May-1976,7.83
13-May-1976,8.04
14-May-1976,7.84
17-May-1976,7.94
18-May-1976,6.11
19-May-1976,7.91
20-May-1976,8.32
21-May-1976,8.16
24-May-1976,8.17
25-May-1976,7.94
26-May-1976,8.21
27-May-1976,8.30
28-May-1976,8.31
31-May-1976,8.33
01-Jun-1976,8.25
02-Jun-1976,8.50
03-Jun-1976,8.55
04-Jun-1976,8.46
07-Jun-1976,8.49
08-Jun-1976,8.38
09-Jun-1976,8.55
10-Jun-1976,8.73
11-Jun-1976,8.50
14-Jun-1976,8.50
15-Jun-1976,8.44
16-Jun-1976,7.89
17-Jun-1976,8.50
18-Jun-1976,8.41
21-Jun-1976,8.49
22-Jun-1976,8.41
23-Jun-1976,8.59
24-Jun-1976,8.62
25-Jun-1976,7.42
28-Jun-1976,6.45
29-Jun-1976,5.40
30-Jun-1976,4.97
01-Jul-1976,8.79
02-Jul-1976,5.58
05-Jul-1976,5.27
06-Jul-1976,4.89
07-Jul-1976,6.15
08-Jul-1976,8.02
09-Jul-1976,7.86
12-Jul-1976,8.18
13-Jul-1976,7.79
14-Jul-1976,8.52
15-Jul-1976,8.09
16-Jul-1976,5.08
19-Jul-1976,6.59
20-Jul-1976,8.11
21-Jul-1976,8.55
22-Jul-1976,8.80
23-Jul-1976,8.37
26-Jul-1976,8.44
27-Jul-1976,7.95
28-Jul-1976,8.36
29-Jul-1976,8.91
30-Jul-1976,8.27
02-Aug-1976,8.20
03-Aug-1976,6.55
04-Aug-1976,8.13
05-Aug-1976,8.32
06-Aug-1976,7.04
09-Aug-1976,6.07
10-Aug-1976,7.35
11-Aug-1976,8.79
12-Aug-1976,9.91
13-Aug-1976,9.33
16-Aug-1976,8.37
17-Aug-1976,5.35
18-Aug-1976,7.58
19-Aug-1976,8.73
20-Aug-1976,8.27
23-Aug-1976,7.39
24-Aug-1976,5.16
25-Aug-1976,5.95
26-Aug-1976,8.77
27-Aug-1976,8.73
30-Aug-1976,8.77
31-Aug-1976,7.72
01-Sep-1976,9.02
02-Sep-1976,8.40
03-Sep-1976,6.80
06-Sep-1976,5.18
07-Sep-1976,4.99
08-Sep-1976,7.22
09-Sep-1976,8.54
10-Sep-1976,8.44
13-Sep-1976,9.10
14-Sep-1976,8.93
15-Sep-1976,8.79
16-Sep-1976,5.91
17-Sep-1976,5.08
20-Sep-1976,7.17
21-Sep-1976,7.57
22-Sep-1976,8.60
23-Sep-1976,8.62
24-Sep-1976,8.48
27-Sep-1976,7.87
28-Sep-1976,5.51
29-Sep-1976,6.04
30-Sep-1976,7.91
01-Oct-1976,6.83
04-Oct-1976,5.54
05-Oct-1976,5.27
06-Oct-1976,7.16
07-Oct-1976,8.53
08-Oct-1976,5.64
11-Oct-1976,7.13
12-Oct-1976,8.55
13-Oct-1976,9.42
14-Oct-1976,9.93
15-Oct-1976,7.29
18-Oct-1976,5.28
19-Oct-1976,5.16
20-Oct-1976,6.33
21-Oct-1976,7.44
22-Oct-1976,5.67
25-Oct-1976,7.75
26-Oct-1976,7.94
27-Oct-1976,9.18
28-Oct-1976,9.31
29-Oct-1976,7.47
01-Nov-1976,7.18
02-Nov-1976,6.40
03-Nov-1976,7.53
04-Nov-1976,8.99
05-Nov-1976,7.08
08-Nov-1976,7.40
09-Nov-1976,7.55
10-Nov-1976,9.48
11-Nov-1976,9.67
12-Nov-1976,8.24
15-Nov-1976,7.41
16-Nov-1976,5.31
17-Nov-1976,6.11
18-Nov-1976,8.30
19-Nov-1976,5.38
22-Nov-1976,7.28
23-Nov-1976,6.01
24-Nov-1976,7.92
25-Nov-1976,8.63
26-Nov-1976,5.06
29-Nov-1976,6.34
30-Nov-1976,4.59
01-Dec-1976,4.61
02-Dec-1976,4.17
03-Dec-1976,4.12
06-Dec-1976,4.27
07-Dec-1976,4.21
08-Dec-1976,6.02
09-Dec-1976,8.02
10-Dec-1976,6.07
13-Dec-1976,6.85
14-Dec-1976,6.91
15-Dec-1976,8.11
16-Dec-1976,4.49
17-Dec-1976,4.04
20-Dec-1976,4.30
21-Dec-1976,8.28
22-Dec-1976,9.67
23-Dec-1976,9.68
24-Dec-1976,6.31
29-Dec-1976,7.42
30-Dec-1976,9.06
31-Dec-1976,7.20
04-Jan-1977,9.17
05-Jan-1977,7.74
06-Jan-1977,5.58
07-Jan-1977,5.16
10-Jan-1977,7.94
11-Jan-1977,8.56
12-Jan-1977,9.76
13-Jan-1977,10.09
14-Jan-1977,7.66
17-Jan-1977,6.81
18-Jan-1977,4.84
19-Jan-1977,5.27
20-Jan-1977,7.36
21-Jan-1977,4.85
24-Jan-1977,5.10
25-Jan-1977,7.31
26-Jan-1977,9.40
27-Jan-1977,10.34
28-Jan-1977,8.73
01-Feb-1977,8.71
02-Feb-1977,6.58
03-Feb-1977,5.91
04-Feb-1977,5.38
07-Feb-1977,7.03
08-Feb-1977,7.59
09-Feb-1977,9.16
10-Feb-1977,10.28
11-Feb-1977,8.10
14-Feb-1977,9.80
15-Feb-1977,6.94
16-Feb-1977,4.77
17-Feb-1977,4.66
18-Feb-1977,4.41
21-Feb-1977,7.97
22-Feb-1977,8.75
23-Feb-1977,7.50
24-Feb-1977,10.50
25-Feb-1977,6.09
28-Feb-1977,8.34
01-Mar-1977,6.72
02-Mar-1977,6.67
03-Mar-1977,7.85
04-Mar-1977,5.20
07-Mar-1977,6.68
08-Mar-1977,5.83
09-Mar-1977,9.86
10-Mar-1977,10.87
11-Mar-1977,8.11
14-Mar-1977,7.67
15-Mar-1977,9.21
16-Mar-1977,8.44
17-Mar-1977,9.54
18-Mar-1977,6.32
21-Mar-1977,6.14
22-Mar-1977,4.82
23-Mar-1977,7.33
24-Mar-1977,9.30
25-Mar-1977,5.63
28-Mar-1977,7.64
29-Mar-1977,7.64
30-Mar-1977,7.77
31-Mar-1977,9.00
01-Apr-1977,5.76
04-Apr-1977,5.54
05-Apr-1977,6.37
06-Apr-1977,8.42
07-Apr-1977,5.65
12-Apr-1977,6.19
13-Apr-1977,8.88
14-Apr-1977,9.79
15-Apr-1977,6.79
18-Apr-1977,5.43
19-Apr-1977,4.99
20-Apr-1977,7.13
21-Apr-1977,9.72
22-Apr-1977,7.91
26-Apr-1977,8.76
27-Apr-1977,7.39
28-Apr-1977,9.67
29-Apr-1977,8.13
02-May-1977,9.00
03-May-1977,6.36
04-May-1977,7.41
05-May-1977,9.74
06-May-1977,8.72
09-May-1977,8.54
10-May-1977,7.99
11-May-1977,9.73
12-May-1977,10.43
13-May-1977,9.52
16-May-1977,8.26
17-May-1977,5.58
18-May-1977,5.60
19-May-1977,9.56
20-May-1977,9.57
23-May-1977,9.41
24-May-1977,8.03
25-May-1977,9.09
26-May-1977,10.01
